PROJECT	GENE	FOOTPRINT_LENGTH	CHROMOSOME	FOOTPRINT_SPANS
PlasmoDB	PF3D7_0110200	1298	Pf3D7_01_v3	392323-393620
PlasmoDB	PF3D7_0110300	275	Pf3D7_01_v3	393216-393490
PlasmoDB	PF3D7_0110400	1317	Pf3D7_01_v3	393695-394457;394669-395222
PlasmoDB	PF3D7_0110500	7101	Pf3D7_01_v3	396580-403355;403514-403838
PlasmoDB	PF3D7_0110600	6149	Pf3D7_01_v3	405007-410133;410320-410452;410553-410950;411301-411380;411522-411560;411883-411932;412132-412453
PlasmoDB	PF3D7_0110700	3926	Pf3D7_01_v3	413076-417001
PlasmoDB	PF3D7_0110800	2382	Pf3D7_01_v3	417254-417993;418380-418837;419035-420218
PlasmoDB	PF3D7_0110900	1216	Pf3D7_01_v3	419727-420942
PlasmoDB	PF3D7_0111000	7049	Pf3D7_01_v3	421025-421883;422128-422283;422374-422496;422732-422791;422850-422912;423091-428878
PlasmoDB	PF3D7_0111200	618	Pf3D7_01_v3	429849-430230;430520-430623;430748-430879
PlasmoDB	PF3D7_0111300	5291	Pf3D7_01_v3	431167-436457
PlasmoDB	PF3D7_0111400	3190	Pf3D7_01_v3	436179-439368
PlasmoDB	PF3D7_0111500	2150	Pf3D7_01_v3	439395-439824;439950-440393;440555-440644;440764-440851;441098-442195
PlasmoDB	PF3D7_0111600	1094	Pf3D7_01_v3	442380-443473
PlasmoDB	PF3D7_0111700	1207	Pf3D7_01_v3	443476-444682
PlasmoDB	PF3D7_0111800	4284	Pf3D7_01_v3	444710-446775;446892-447016;447118-447205;447339-447422;447617-447747;447841-447904;448028-448190;448392-449954
PlasmoDB	PF3D7_0111900	323	Pf3D7_01_v3	449966-450099;450297-450428;450590-450646
PlasmoDB	PF3D7_0112000	1421	Pf3D7_01_v3	450831-450873;451238-451303;451594-452440;452590-452690;452832-453195
PlasmoDB	PF3D7_0112100	492	Pf3D7_01_v3	454847-455338
PlasmoDB	PF3D7_0112200	8128	Pf3D7_01_v3	463764-471891
PlasmoDB	PF3D7_0112300	2149	Pf3D7_01_v3	473739-475887
PlasmoDB	PF3D7_0112500	142	Pf3D7_01_v3	476287-476428
PlasmoDB	PF3D7_0112700	4104	Pf3D7_01_v3	477279-481382
PlasmoDB	PF3D7_0112800	1790	Pf3D7_01_v3	481231-482319;482518-483218
PlasmoDB	PF3D7_0112900	4119	Pf3D7_01_v3	483603-486586;486707-487841
PlasmoDB	PF3D7_0113000	3449	Pf3D7_01_v3	487239-489838;490053-490901
PlasmoDB	PF3D7_0113100	5242	Pf3D7_01_v3	494941-496239;496405-500347
PlasmoDB	PF3D7_0113200	2777	Pf3D7_01_v3	500888-502509;502641-503795
PlasmoDB	PF3D7_0113300	2939	Pf3D7_01_v3	504339-506581;506764-507459
PlasmoDB	PF3D7_0113400	1981	Pf3D7_01_v3	507977-509340;509542-510158
PlasmoDB	PF3D7_0113600	5682	Pf3D7_01_v3	512086-514716;514804-516580;516582-517855
PlasmoDB	PF3D7_0113700	2777	Pf3D7_01_v3	519766-520917;521146-521277;521396-521795;522014-523106
PlasmoDB	PF3D7_0113800	9491	Pf3D7_01_v3	526530-530065;530175-531493;531652-534459;534735-536562
PlasmoDB	PF3D7_0113900	1189	Pf3D7_01_v3	536783-537771;537957-538156
PlasmoDB	PF3D7_0114000	5628	Pf3D7_01_v3	541805-542641;542754-547544
PlasmoDB	PF3D7_0114100	1331	Pf3D7_01_v3	547245-548217;548312-548669
PlasmoDB	PF3D7_0114200	1044	Pf3D7_01_v3	550576-551550;551645-551713
PlasmoDB	PF3D7_0114300	960	Pf3D7_01_v3	552640-552708;552906-553106;553108-553797
PlasmoDB	PF3D7_0114400	1380	Pf3D7_01_v3	554057-554268;554270-554441;554443-554637;554639-555439
PlasmoDB	PF3D7_0114500	1072	Pf3D7_01_v3	557700-558464;558640-558946
PlasmoDB	PF3D7_0114600	939	Pf3D7_01_v3	560474-560806;560809-561060;561063-561206;561209-561349;561466-561534
PlasmoDB	PF3D7_0114700	972	Pf3D7_01_v3	563703-564602;564771-564842
PlasmoDB	PF3D7_0114750	177	Pf3D7_01_v3	566515-566691
PlasmoDB	PF3D7_0114800	633	Pf3D7_01_v3	569485-570048;570204-570272
PlasmoDB	PF3D7_0114900	636	Pf3D7_01_v3	572135-572445;572448-572703;572785-572853
PlasmoDB	PF3D7_0115000	5778	Pf3D7_01_v3	577704-578496;578657-578922;579071-583789
PlasmoDB	PF3D7_0115050	146	Pf3D7_01_v3	584722-584867
PlasmoDB	PF3D7_0115100	882	Pf3D7_01_v3	587391-587483;587606-588394
PlasmoDB	PF3D7_0115150	606	Pf3D7_01_v3	589386-589494;589496-589875;589878-589994
PlasmoDB	PF3D7_0115200	1107	Pf3D7_01_v3	591849-591902;592135-593187
PlasmoDB	PF3D7_0115300	1011	Pf3D7_01_v3	595102-595155;595317-596273
PlasmoDB	PF3D7_0115400	906	Pf3D7_01_v3	598465-598533;598636-599472
PlasmoDB	PF3D7_0115500	1299	Pf3D7_01_v3	600692-601255;601258-601992
PlasmoDB	PF3D7_0115600	1140	Pf3D7_01_v3	604162-604215;604446-605531
PlasmoDB	PF3D7_0115700	6612	Pf3D7_01_v3	607390-608694;609587-614893
