PROJECT	GENE	FOOTPRINT_LENGTH	CHROMOSOME	FOOTPRINT_SPANS
TriTrypDB	LmjF.01.0710	1626	LmjF.01	208464-210089
TriTrypDB	LmjF.01.0720	4860	LmjF.01	210558-215417
TriTrypDB	LmjF.01.0730	6726	LmjF.01	216579-223304
TriTrypDB	LmjF.01.0740	2256	LmjF.01	223998-226253
TriTrypDB	LmjF.01.0750	4254	LmjF.01	227560-231813
TriTrypDB	LmjF.01.0760	1020	LmjF.01	232419-233438
TriTrypDB	LmjF.01.0770	1212	LmjF.01	234392-235603
TriTrypDB	LmjF.01.0780	1212	LmjF.01	237389-238600
TriTrypDB	LmjF.01.0790	1587	LmjF.01	240769-242355
TriTrypDB	LmjF.01.0800	1530	LmjF.01	244534-246063
TriTrypDB	LmjF.01.0810	3054	LmjF.01	247550-250603
TriTrypDB	LmjF.01.0820	3480	LmjF.01	252411-255890
TriTrypDB	LmjF.01.0830	2037	LmjF.01	258831-260867
