OrthoMclId	Chromosome	Ploidy	Genes In Ref	Total CN	Haploid Number	Gene Dose	Gene List
OG5_136820	Pf3D7_02_v3	1	1	1.649	1.65	1.6	PF3D7_0220000
OG5_153560	Pf3D7_02_v3	1	1	1.167	1.17	1.2	PF3D7_0204100
OG5_132467	Pf3D7_02_v3	1	7	14.237	14.24	14.2	PF3D7_0207500, PF3D7_0207400, PF3D7_0207600, PF3D7_0207700, PF3D7_0207900, PF3D7_0208000, PF3D7_0207800
OG5_126773	Pf3D7_02_v3	1	2	2.142	2.14	2.1	PF3D7_0201800, PF3D7_0213100
OG5_162066	Pf3D7_02_v3	1	1	0.681	0.68	0.7	PF3D7_0208400
OG5_138272	Pf3D7_02_v3	1	1	1.389	1.39	1.4	PF3D7_0220800
OG5_127595	Pf3D7_02_v3	1	1	1.907	1.91	1.9	PF3D7_0216000
OG5_165456	Pf3D7_02_v3	1	1	0.831	0.83	0.8	PF3D7_0204600
OG5_157770	Pf3D7_02_v3	1	1	1.161	1.16	1.2	PF3D7_0211100
OG5_160589	Pf3D7_02_v3	1	1	0.119	0.12	0.1	PF3D7_0213300
OG5_130251	Pf3D7_02_v3	1	1	1.355	1.36	1.4	PF3D7_0211700
OG5_127632	Pf3D7_02_v3	1	1	0.826	0.83	0.8	PF3D7_0216400
OG5_127038	Pf3D7_02_v3	1	1	1.165	1.17	1.2	PF3D7_0216600
OG5_162652	Pf3D7_02_v3	1	1	0.908	0.91	0.9	PF3D7_0204800
OG5_153562	Pf3D7_02_v3	1	1	0.498	0.50	0.5	PF3D7_0213000
OG5_133717	Pf3D7_02_v3	1	1	1.031	1.03	1.0	PF3D7_0218600
OG5_167005	Pf3D7_02_v3	1	1	0.835	0.84	0.8	PF3D7_0205100
OG5_131121	Pf3D7_02_v3	1	1	1.544	1.54	1.5	PF3D7_0206200
OG5_156591	Pf3D7_02_v3	1	1	1.662	1.66	1.7	PF3D7_0212700
OG5_127165	Pf3D7_02_v3	1	1	1.926	1.93	1.9	PF3D7_0217100
OG5_136732	Pf3D7_02_v3	1	1	0.832	0.83	0.8	PF3D7_0201600
OG5_130616	Pf3D7_02_v3	1	1	0.907	0.91	0.9	PF3D7_0209300
OG5_153628	Pf3D7_02_v3	1	1	0.967	0.97	1.0	PF3D7_0212400
OG5_153627	Pf3D7_02_v3	1	1	1.068	1.07	1.1	PF3D7_0203200
OG5_166876	Pf3D7_02_v3	1	1	1.091	1.09	1.1	PF3D7_0215500
OG5_167003	Pf3D7_02_v3	1	1	1.898	1.90	1.9	PF3D7_0202600
OG5_167014	Pf3D7_02_v3	1	1	0.638	0.64	0.6	PF3D7_0214700
OG5_150575	Pf3D7_02_v3	1	1	0.867	0.87	0.9	PF3D7_0214900
OG5_129509	Pf3D7_02_v3	1	1	0.620	0.62	0.6	PF3D7_0211400
OG5_135658	Pf3D7_02_v3	1	1	0.106	0.11	0.1	PF3D7_0205800
OG5_243463	Pf3D7_02_v3	1	1	1.209	1.21	1.2	PF3D7_0201400
OG5_166938	Pf3D7_02_v3	1	1	0.998	1.00	1.0	PF3D7_0213500
OG5_129805	Pf3D7_02_v3	1	1	0.374	0.37	0.4	PF3D7_0212000
OG5_126694	Pf3D7_02_v3	1	1	2.487	2.49	2.5	PF3D7_0215700
OG5_pfal|PFB0923c	Pf3D7_02_v3	1	1	0.274	0.27	0.3	PF3D7_0220300
OG5_139037	Pf3D7_02_v3	1	1	1.195	1.19	1.2	PF3D7_0209600
OG5_167010	Pf3D7_02_v3	1	1	2.054	2.05	2.1	PF3D7_0208900
OG5_147114	Pf3D7_02_v3	1	1	0.670	0.67	0.7	PF3D7_0211300
OG5_165926	Pf3D7_02_v3	1	1	0.499	0.50	0.5	PF3D7_0216200
OG5_160931	Pf3D7_02_v3	1	1	0.558	0.56	0.6	PF3D7_0219300
OG5_132376	Pf3D7_02_v3	1	1	1.935	1.93	1.9	PF3D7_0201900
OG5_147413	Pf3D7_02_v3	1	1	1.323	1.32	1.3	PF3D7_0210200
OG5_128040	Pf3D7_02_v3	1	1	1.559	1.56	1.6	PF3D7_0218000
OG5_128305	Pf3D7_02_v3	1	1	0.928	0.93	0.9	PF3D7_0219500
OG5_162068	Pf3D7_02_v3	1	1	1.018	1.02	1.0	PF3D7_0214600
OG5_162067	Pf3D7_02_v3	1	1	2.186	2.19	2.2	PF3D7_0209000
OG5_146472	Pf3D7_02_v3	1	2	3.053	3.05	3.1	PF3D7_0220100, PF3D7_0201700
OG5_126937	Pf3D7_02_v3	1	1	1.104	1.10	1.1	PF3D7_0202700
OG5_167017	Pf3D7_02_v3	1	1	0.679	0.68	0.7	PF3D7_0215600
OG5_140543	Pf3D7_02_v3	1	1	1.327	1.33	1.3	PF3D7_0216800
OG5_127269	Pf3D7_02_v3	1	1	0.000	0.00	0.0	PF3D7_0219200
OG5_150556	Pf3D7_02_v3	1	1	0.352	0.35	0.4	PF3D7_0213200
OG5_160784	Pf3D7_02_v3	1	1	0.796	0.80	0.8	PF3D7_0216300
OG5_167018	Pf3D7_02_v3	1	1	0.662	0.66	0.7	PF3D7_0216100
OG5_128926	Pf3D7_02_v3	1	1	0.140	0.14	0.1	PF3D7_0215100
OG5_164154	Pf3D7_02_v3	1	1	1.381	1.38	1.4	PF3D7_0217900
OG5_126600	Pf3D7_02_v3	1	1	1.128	1.13	1.1	PF3D7_0217500
OG5_151956	Pf3D7_02_v3	1	1	6.571	6.57	6.6	PF3D7_0222200
OG5_127950	Pf3D7_02_v3	1	1	1.952	1.95	2.0	PF3D7_0205900
OG5_147451	Pf3D7_02_v3	1	1	1.107	1.11	1.1	PF3D7_0205600
OG5_157148	Pf3D7_02_v3	1	1	1.004	1.00	1.0	PF3D7_0212500
OG5_161722	Pf3D7_02_v3	1	1	0.930	0.93	0.9	PF3D7_0208300
OG5_173789	Pf3D7_02_v3	1	1	0.601	0.60	0.6	PF3D7_0210800
OG5_128697	Pf3D7_02_v3	1	1	0.448	0.45	0.4	PF3D7_0203300
OG5_172398	Pf3D7_02_v3	1	1	1.133	1.13	1.1	PF3D7_0213800
OG5_127853	Pf3D7_02_v3	1	1	1.183	1.18	1.2	PF3D7_0210300
OG5_137339	Pf3D7_02_v3	1	1	1.157	1.16	1.2	PF3D7_0209100
OG5_128357	Pf3D7_02_v3	1	1	0.978	0.98	1.0	PF3D7_0218700
OG5_131915	Pf3D7_02_v3	1	1	2.227	2.23	2.2	PF3D7_0201100
OG5_128863	Pf3D7_02_v3	1	1	1.254	1.25	1.3	PF3D7_0214400
OG5_127438	Pf3D7_02_v3	1	1	1.043	1.04	1.0	PF3D7_0209800
OG5_126737	Pf3D7_02_v3	1	1	1.806	1.81	1.8	PF3D7_0204500
OG5_173791	Pf3D7_02_v3	1	1	0.531	0.53	0.5	PF3D7_0211900
OG5_134263	Pf3D7_02_v3	1	1	1.365	1.36	1.4	PF3D7_0202400
OG5_128444	Pf3D7_02_v3	1	1	0.907	0.91	0.9	PF3D7_0211600
OG5_173816	Pf3D7_02_v3	1	1	1.170	1.17	1.2	PF3D7_0202300
OG5_130659	Pf3D7_02_v3	1	1	0.242	0.24	0.2	PF3D7_0215900
OG5_166153	Pf3D7_02_v3	1	1	1.322	1.32	1.3	PF3D7_0209500
OG5_157837	Pf3D7_02_v3	1	1	1.124	1.12	1.1	PF3D7_0205200
OG5_127855	Pf3D7_02_v3	1	1	1.081	1.08	1.1	PF3D7_0208200
OG5_129177	Pf3D7_02_v3	1	1	1.049	1.05	1.0	PF3D7_0215000
OG5_141751	Pf3D7_02_v3	1	1	0.262	0.26	0.3	PF3D7_0210600
OG5_161403	Pf3D7_02_v3	1	1	1.023	1.02	1.0	PF3D7_0210500
OG5_128675	Pf3D7_02_v3	1	1	1.338	1.34	1.3	PF3D7_0206000
OG5_127211	Pf3D7_02_v3	1	1	1.752	1.75	1.8	PF3D7_0204900
OG5_167022	Pf3D7_02_v3	1	1	0.626	0.63	0.6	PF3D7_0219900
OG5_pfal|PFB0921c	Pf3D7_02_v3	1	1	0.084	0.08	0.1	PF3D7_0220200
OG5_127166	Pf3D7_02_v3	1	1	0.152	0.15	0.2	PF3D7_0210100
OG5_167006	Pf3D7_02_v3	1	1	1.798	1.80	1.8	PF3D7_0206500
OG5_167009	Pf3D7_02_v3	1	1	0.284	0.28	0.3	PF3D7_0208800
OG5_127923	Pf3D7_02_v3	1	1	1.333	1.33	1.3	PF3D7_0214000
OG5_167021	Pf3D7_02_v3	1	1	0.419	0.42	0.4	PF3D7_0218200
OG5_161690	Pf3D7_02_v3	1	1	0.616	0.62	0.6	PF3D7_0217000
OG5_184700	Pf3D7_02_v3	1	2	1.586	1.59	1.6	PF3D7_0219800, PF3D7_0219700
OG5_135185	Pf3D7_02_v3	1	1	1.071	1.07	1.1	PF3D7_0212900
OG5_127135	Pf3D7_02_v3	1	1	1.616	1.62	1.6	PF3D7_0204700
OG5_126884	Pf3D7_02_v3	1	1	0.796	0.80	0.8	PF3D7_0212200
OG5_126585	Pf3D7_02_v3	1	2	2.445	2.44	2.4	PF3D7_0216700, PF3D7_0203000
OG5_155701	Pf3D7_02_v3	1	1	1.801	1.80	1.8	PF3D7_0214300
OG5_127283	Pf3D7_02_v3	1	1	0.203	0.20	0.2	PF3D7_0206100
OG5_136836	Pf3D7_02_v3	1	1	1.302	1.30	1.3	PF3D7_0202000
OG5_176615	Pf3D7_02_v3	1	1	0.523	0.52	0.5	PF3D7_0206900
OG5_127463	Pf3D7_02_v3	1	1	0.375	0.37	0.4	PF3D7_0207200
OG5_162016	Pf3D7_02_v3	1	1	0.000	0.00	0.0	PF3D7_0203400
OG5_pfal|PFB0105c	Pf3D7_02_v3	1	1	0.455	0.46	0.5	PF3D7_0202100
OG5_128606	Pf3D7_02_v3	1	1	0.504	0.50	0.5	PF3D7_0205500
OG5_166415	Pf3D7_02_v3	1	1	0.752	0.75	0.8	PF3D7_0203600
OG5_128308	Pf3D7_02_v3	1	1	1.268	1.27	1.3	PF3D7_0205400
OG5_196489	Pf3D7_02_v3	1	2	1.042	1.04	1.0	PF3D7_0221700, PF3D7_0220500
OG5_165033	Pf3D7_02_v3	1	1	0.980	0.98	1.0	PF3D7_0213600
OG5_126868	Pf3D7_02_v3	1	1	0.878	0.88	0.9	PF3D7_0210700
OG5_167004	Pf3D7_02_v3	1	1	1.219	1.22	1.2	PF3D7_0204300
OG5_167013	Pf3D7_02_v3	1	1	0.693	0.69	0.7	PF3D7_0214500
OG5_131785	Pf3D7_02_v3	1	1	0.520	0.52	0.5	PF3D7_0217700
OG5_128919	Pf3D7_02_v3	1	1	0.458	0.46	0.5	PF3D7_0202900
OG5_130883	Pf3D7_02_v3	1	1	0.767	0.77	0.8	PF3D7_0206700
OG5_156492	Pf3D7_02_v3	1	1	0.447	0.45	0.4	PF3D7_0210400
OG5_167015	Pf3D7_02_v3	1	1	1.324	1.32	1.3	PF3D7_0214800
OG5_127784	Pf3D7_02_v3	1	1	1.547	1.55	1.5	PF3D7_0218400
OG5_132022	Pf3D7_02_v3	1	1	1.562	1.56	1.6	PF3D7_0203900
OG5_158050	Pf3D7_02_v3	1	1	0.921	0.92	0.9	PF3D7_0212600
OG5_pfal|PFB0225c	Pf3D7_02_v3	1	1	0.789	0.79	0.8	PF3D7_0205000
OG5_127419	Pf3D7_02_v3	1	1	0.000	0.00	0.0	PF3D7_0206600
OG5_165885	Pf3D7_02_v3	1	1	0.572	0.57	0.6	PF3D7_0217200
OG5_184624	Pf3D7_02_v3	1	1	0.201	0.20	0.2	PF3D7_0202500
OG5_127465	Pf3D7_02_v3	1	1	1.778	1.78	1.8	PF3D7_0219600
OG5_128004	Pf3D7_02_v3	1	1	1.201	1.20	1.2	PF3D7_0203700
OG5_128529	Pf3D7_02_v3	1	1	0.323	0.32	0.3	PF3D7_0209200
OG5_127506	Pf3D7_02_v3	1	1	2.319	2.32	2.3	PF3D7_0214100
OG5_167020	Pf3D7_02_v3	1	1	1.725	1.72	1.7	PF3D7_0216900
OG5_127277	Pf3D7_02_v3	1	1	1.641	1.64	1.6	PF3D7_0203100
OG5_161668	Pf3D7_02_v3	1	1	0.183	0.18	0.2	PF3D7_0205700
OG5_135176	Pf3D7_02_v3	1	1	0.475	0.47	0.5	PF3D7_0203800
OG5_136613	Pf3D7_02_v3	1	1	1.508	1.51	1.5	PF3D7_0215300
OG5_167007	Pf3D7_02_v3	1	1	0.357	0.36	0.4	PF3D7_0207000
OG5_167008	Pf3D7_02_v3	1	1	2.232	2.23	2.2	PF3D7_0207300
OG5_173790	Pf3D7_02_v3	1	1	0.780	0.78	0.8	PF3D7_0210900
OG5_166525	Pf3D7_02_v3	1	1	0.564	0.56	0.6	PF3D7_0205300
OG5_184620	Pf3D7_02_v3	1	1	0.000	0.00	0.0	PF3D7_0202800
OG5_128581	Pf3D7_02_v3	1	1	0.000	0.00	0.0	PF3D7_0217300
OG5_127733	Pf3D7_02_v3	1	1	0.082	0.08	0.1	PF3D7_0218500
OG5_128345	Pf3D7_02_v3	1	1	0.490	0.49	0.5	PF3D7_0218300
OG5_150537	Pf3D7_02_v3	1	1	2.326	2.33	2.3	PF3D7_0215800
OG5_130196	Pf3D7_02_v3	1	1	0.129	0.13	0.1	PF3D7_0219400
OG5_173941	Pf3D7_02_v3	1	3	1.546	1.55	1.5	PF3D7_0220700, PF3D7_0201500, PF3D7_0220600
OG5_154443	Pf3D7_02_v3	1	1	1.784	1.78	1.8	PF3D7_0207100
OG5_142894	Pf3D7_02_v3	1	1	1.049	1.05	1.0	PF3D7_0208700
OG5_157722	Pf3D7_02_v3	1	1	1.081	1.08	1.1	PF3D7_0217600
OG5_165449	Pf3D7_02_v3	1	1	1.250	1.25	1.2	PF3D7_0204000
OG5_129950	Pf3D7_02_v3	1	1	0.514	0.51	0.5	PF3D7_0213700
OG5_127028	Pf3D7_02_v3	1	1	0.141	0.14	0.1	PF3D7_0208500
OG5_140864	Pf3D7_02_v3	1	1	7.822	7.82	7.8	PF3D7_0222000
OG5_156827	Pf3D7_02_v3	1	1	0.052	0.05	0.1	PF3D7_0217400
OG5_143975	Pf3D7_02_v3	1	1	1.151	1.15	1.2	PF3D7_0222100
